Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_REGIO,SEXE
2021-01-01,1,Ciutat Vella,1,el Raval,7,1,1
2021-01-01,1,Ciutat Vella,1,el Raval,12,1,2
2021-01-01,1,Ciutat Vella,1,el Raval,9,2,1
2021-01-01,1,Ciutat Vella,1,el Raval,22,2,2
2021-01-01,1,Ciutat Vella,1,el Raval,685,3,1
2021-01-01,1,Ciutat Vella,1,el Raval,1178,3,2
2021-01-01,1,Ciutat Vella,1,el Raval,6,4,1
2021-01-01,1,Ciutat Vella,1,el Raval,..,4,2
2021-01-01,1,Ciutat Vella,1,el Raval,69,5,1
2021-01-01,1,Ciutat Vella,1,el Raval,175,5,2
2021-01-01,1,Ciutat Vella,1,el Raval,136,6,1
2021-01-01,1,Ciutat Vella,1,el Raval,148,6,2
2021-01-01,1,Ciutat Vella,1,el Raval,280,7,1
2021-01-01,1,Ciutat Vella,1,el Raval,258,7,2
2021-01-01,1,Ciutat Vella,1,el Raval,1350,8,1
2021-01-01,1,Ciutat Vella,1,el Raval,1401,8,2
2021-01-01,1,Ciutat Vella,1,el Raval,157,9,1
2021-01-01,1,Ciutat Vella,1,el Raval,154,9,2
2021-01-01,1,Ciutat Vella,1,el Raval,14,10,1
2021-01-01,1,Ciutat Vella,1,el Raval,11,10,2
2021-01-01,1,Ciutat Vella,1,el Raval,239,11,1
2021-01-01,1,Ciutat Vella,1,el Raval,194,11,2
2021-01-01,1,Ciutat Vella,1,el Raval,2728,12,1
2021-01-01,1,Ciutat Vella,1,el Raval,5897,12,2
2021-01-01,1,Ciutat Vella,1,el Raval,2268,13,1
2021-01-01,1,Ciutat Vella,1,el Raval,1815,13,2
2021-01-01,1,Ciutat Vella,1,el Raval,226,14,1
2021-01-01,1,Ciutat Vella,1,el Raval,247,14,2
2021-01-01,1,Ciutat Vella,1,el Raval,619,15,1
2021-01-01,1,Ciutat Vella,1,el Raval,425,15,2
2021-01-01,1,Ciutat Vella,1,el Raval,501,16,1
2021-01-01,1,Ciutat Vella,1,el Raval,571,16,2
2021-01-01,1,Ciutat Vella,1,el Raval,12340,17,1
2021-01-01,1,Ciutat Vella,1,el Raval,12777,17,2
2021-01-01,1,Ciutat Vella,1,el Raval,810,18,1
2021-01-01,1,Ciutat Vella,1,el Raval,915,18,2
2021-01-01,1,Ciutat Vella,1,el Raval,13,19,1
2021-01-01,1,Ciutat Vella,1,el Raval,13,19,2
2021-01-01,1,Ciutat Vella,1,el Raval,9,23,1
2021-01-01,1,Ciutat Vella,1,el Raval,6,23,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,2,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,273,3,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,760,3,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,4,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,6,4,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,33,5,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,178,5,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,58,6,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,49,6,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,283,7,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,199,7,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,819,8,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,779,8,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,136,9,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,132,9,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,10,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,10,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,132,11,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,110,11,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,461,12,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,5093,12,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,211,13,1
